"141000,1404"
"Seven of Diamonds | Five of Clubs,1263,118"
"Ten of Clubs | Five of Clubs,1955,341"
"Four of Hearts | Three of Spades,838,67"
"Five of Diamonds | Four of Spades,811,61"
"King of Clubs | Four of Spades,1270,145"
"Ace of Hearts | Nine of Hearts,835,119"
"King of Hearts | Five of Clubs,1297,123"
"Ten of Diamonds | Eight of Diamonds,811,98"
"King of Hearts | Seven of Diamonds,878,75"
"Ace of Spades | Eight of Hearts,823,108"
"Five of Hearts | Two of Clubs,1235,80"
"Six of Spades | Four of Hearts,860,73"
"Jack of Spades | Four of Diamonds,883,55"
"Jack of Spades | Six of Clubs,1262,98"
"Five of Spades | Five of Diamonds,432,54"
"Queen of Hearts | Seven of Spades,843,74"
"King of Clubs | Four of Clubs,1950,436"
"Queen of Diamonds | Two of Clubs,1289,95"
"Ace of Clubs | Three of Spades,1269,196"
"Four of Clubs | Three of Spades,1199,84"
"Ace of Clubs | Eight of Clubs,1893,460"
"King of Diamonds | Nine of Hearts,827,100"
"Queen of Diamonds | Jack of Hearts,804,101"
"Jack of Diamonds | Seven of Hearts,866,87"
"Jack of Clubs | Four of Clubs,1940,349"
"Jack of Diamonds | Nine of Hearts,844,105"
"Jack of Hearts | Eight of Diamonds,798,74"
"Ace of Clubs | Ten of Clubs,1919,560"
"Seven of Hearts | Three of Hearts,826,73"
"Jack of Clubs | Seven of Diamonds,1243,123"
"Four of Clubs | Three of Diamonds,1290,99"
"Nine of Diamonds | Four of Clubs,1261,72"
"Five of Hearts | Four of Diamonds,833,78"
"Ace of Spades | Eight of Clubs,1298,159"
"King of Clubs | Eight of Spades,1230,126"
"Ace of Diamonds | Two of Clubs,1312,140"
"Queen of Diamonds | Jack of Diamonds,841,133"
"King of Clubs | Ten of Diamonds,1259,212"
"Nine of Clubs | Five of Spades,1265,109"
"Ace of Diamonds | Ten of Spades,839,115"
"Nine of Clubs | Nine of Hearts,638,123"
"Jack of Clubs | Jack of Spades,615,109"
"Jack of Clubs | Six of Hearts,1292,120"
"Three of Spades | Two of Hearts,852,71"
"Ace of Hearts | Queen of Clubs,1311,201"
"Queen of Spades | Six of Spades,821,86"
"Queen of Clubs | Queen of Diamonds,618,146"
"Ace of Spades | Seven of Clubs,1243,123"
"Five of Clubs | Two of Hearts,1257,74"
"Jack of Diamonds | Four of Hearts,874,81"
"Four of Hearts | Two of Clubs,1331,72"
"Ace of Spades | King of Spades,827,147"
"Ace of Hearts | Ten of Clubs,1382,184"
"Ace of Hearts | King of Hearts,805,143"
"Jack of Hearts | Jack of Spades,419,78"
"Queen of Hearts | Jack of Hearts,821,116"
"Eight of Diamonds | Eight of Hearts,432,64"
"Ace of Hearts | Jack of Hearts,811,128"
"Ace of Clubs | Two of Clubs,1945,479"
"Jack of Hearts | Four of Spades,846,78"
"Ten of Spades | Four of Diamonds,810,56"
"Queen of Clubs | Ten of Clubs,1926,484"
"Ace of Hearts | Seven of Clubs,1257,132"
"Ten of Spades | Five of Hearts,823,67"
"Six of Hearts | Three of Diamonds,864,65"
"King of Spades | Two of Clubs,1239,89"
"Ace of Clubs | Four of Hearts,1285,197"
"King of Diamonds | Three of Clubs,1221,99"
"Queen of Hearts | Eight of Hearts,842,117"
"King of Clubs | Jack of Spades,1273,216"
"Eight of Hearts | Seven of Spades,827,97"
"Five of Spades | Four of Clubs,1281,99"
"King of Diamonds | Seven of Hearts,819,87"
"Ace of Spades | Three of Spades,843,103"
"King of Spades | Six of Clubs,1250,124"
"Jack of Hearts | Ten of Clubs,1281,183"
"Eight of Clubs | Four of Clubs,1947,307"
"Three of Spades | Two of Clubs,1342,62"
"Ace of Spades | Seven of Diamonds,883,105"
"King of Spades | Three of Diamonds,820,84"
"King of Spades | Jack of Spades,819,138"
"Ace of Spades | Ace of Diamonds,410,117"
"Seven of Clubs | Six of Hearts,1263,140"
"Three of Clubs | Three of Hearts,616,75"
"Six of Diamonds | Four of Spades,826,54"
"Ten of Clubs | Seven of Clubs,2031,405"
"Eight of Clubs | Two of Clubs,1882,254"
"Jack of Diamonds | Two of Hearts,788,55"
"Eight of Diamonds | Two of Spades,839,56"
"Ace of Clubs | King of Diamonds,1271,267"
"Queen of Diamonds | Ten of Spades,837,103"
"Ace of Clubs | Nine of Hearts,1215,159"
"Ace of Diamonds | Two of Hearts,844,87"
"Ace of Diamonds | Two of Spades,782,82"
"Ace of Hearts | Four of Clubs,1320,136"
"Jack of Hearts | Nine of Hearts,812,103"
"Jack of Hearts | Two of Spades,845,59"
"Ten of Spades | Ten of Hearts,442,81"
"Ten of Hearts | Three of Clubs,1282,99"
"Seven of Diamonds | Seven of Clubs,654,79"
"Queen of Spades | Jack of Clubs,1259,188"
"Jack of Clubs | Nine of Diamonds,1224,143"
"King of Spades | Nine of Clubs,1256,151"
"Jack of Spades | Eight of Hearts,869,87"
"Seven of Clubs | Three of Spades,1256,78"
"Jack of Spades | Eight of Spades,850,105"
"Ace of Diamonds | Four of Hearts,830,95"
"Jack of Hearts | Three of Hearts,895,84"
"Ten of Hearts | Four of Spades,817,70"
"Four of Hearts | Four of Spades,421,59"
"Ten of Spades | Three of Spades,819,72"
"Ten of Hearts | Two of Clubs,1273,81"
"Jack of Hearts | Ten of Hearts,846,133"
"King of Clubs | Six of Hearts,1327,138"
"King of Clubs | Eight of Diamonds,1236,141"
"Ace of Clubs | Five of Clubs,1918,485"
"Six of Diamonds | Five of Hearts,844,58"
"Six of Spades | Three of Hearts,837,51"
"Eight of Clubs | Six of Diamonds,1253,93"
"Ten of Spades | Three of Clubs,1272,74"
"Queen of Diamonds | Ten of Hearts,841,101"
"Ten of Hearts | Nine of Clubs,1266,157"
"King of Hearts | Five of Spades,853,72"
"Five of Spades | Five of Clubs,639,68"
"Ace of Hearts | Three of Spades,802,90"
"Queen of Diamonds | Seven of Spades,836,93"
"Ten of Hearts | Ten of Diamonds,420,75"
"Eight of Spades | Three of Hearts,841,51"
"Ten of Diamonds | Six of Clubs,1259,88"
"Ten of Diamonds | Three of Spades,828,56"
"Four of Clubs | Four of Diamonds,634,63"
"King of Diamonds | Six of Clubs,1257,99"
"Ace of Diamonds | Six of Diamonds,859,106"
"Nine of Hearts | Three of Diamonds,785,67"
"Ace of Spades | Six of Diamonds,834,91"
"Eight of Clubs | Two of Spades,1329,85"
"Jack of Clubs | Three of Hearts,1282,95"
"Queen of Spades | Six of Hearts,825,76"
"King of Diamonds | Seven of Spades,866,86"
"Ace of Clubs | Jack of Spades,1290,228"
"Jack of Clubs | Eight of Spades,1245,136"
"Five of Clubs | Four of Spades,1329,112"
"King of Spades | Ten of Hearts,790,113"
"Ten of Diamonds | Nine of Diamonds,829,89"
"Nine of Hearts | Six of Hearts,822,81"
"Two of Diamonds | Two of Hearts,382,44"
"Eight of Clubs | Five of Diamonds,1296,101"
"Eight of Clubs | Seven of Spades,1282,132"
"Six of Diamonds | Four of Diamonds,855,99"
"Queen of Diamonds | Four of Spades,848,67"
"Four of Spades | Three of Diamonds,806,64"
"Six of Spades | Three of Diamonds,868,66"
"King of Spades | Two of Hearts,809,71"
"Four of Diamonds | Four of Spades,386,54"
"Queen of Diamonds | Six of Spades,812,75"
"Jack of Diamonds | Four of Clubs,1303,105"
"Ten of Spades | Nine of Clubs,1268,148"
"Four of Clubs | Four of Spades,649,69"
"Queen of Spades | Four of Hearts,855,76"
"Nine of Diamonds | Six of Clubs,1232,105"
"Ace of Clubs | Jack of Diamonds,1245,235"
"Ten of Clubs | Nine of Diamonds,1210,126"
"Eight of Spades | Six of Clubs,1290,118"
"Seven of Hearts | Four of Spades,822,52"
"Ace of Spades | Four of Spades,845,95"
"King of Clubs | Four of Diamonds,1235,140"
"Ace of Spades | Four of Hearts,829,100"
"Jack of Diamonds | Six of Clubs,1226,88"
"Nine of Hearts | Four of Clubs,1279,75"
"King of Spades | Six of Hearts,823,79"
"Ace of Spades | Queen of Hearts,826,130"
"Six of Spades | Five of Hearts,863,84"
"Two of Hearts | Two of Clubs,610,60"
"Queen of Spades | Eight of Hearts,835,77"
"Seven of Diamonds | Five of Spades,884,72"
"Jack of Spades | Three of Hearts,861,63"
"Ace of Diamonds | Two of Diamonds,829,86"
"Five of Diamonds | Five of Hearts,434,46"
"Ace of Diamonds | King of Clubs,1247,228"
"Five of Diamonds | Four of Hearts,841,87"
"Nine of Spades | Two of Diamonds,842,52"
"Six of Spades | Two of Spades,793,57"
"Queen of Spades | Seven of Spades,886,102"
"Six of Hearts | Four of Spades,841,76"
"King of Spades | King of Diamonds,427,99"
"Queen of Hearts | Jack of Clubs,1220,181"
"Ace of Hearts | Three of Hearts,793,94"
"Queen of Clubs | Two of Spades,1282,111"
"Jack of Spades | Jack of Diamonds,431,80"
"Ace of Spades | Ten of Clubs,1232,162"
"Jack of Spades | Three of Spades,813,82"
"Seven of Clubs | Two of Diamonds,1197,53"
"Seven of Diamonds | Six of Clubs,1302,114"
"Ace of Spades | Nine of Diamonds,806,85"
"Six of Hearts | Two of Diamonds,853,52"
"Six of Spades | Four of Diamonds,857,80"
"Nine of Clubs | Four of Diamonds,1256,99"
"Jack of Hearts | Seven of Hearts,835,89"
"Five of Clubs | Two of Clubs,1898,236"
"Seven of Spades | Six of Diamonds,873,74"
"Queen of Hearts | Jack of Spades,831,109"
"Ace of Hearts | Five of Hearts,863,124"
"Ace of Diamonds | Seven of Hearts,848,83"
"King of Diamonds | Two of Clubs,1261,80"
"Nine of Clubs | Eight of Spades,1246,136"
"Jack of Clubs | Six of Clubs,1913,347"
"Eight of Spades | Seven of Hearts,840,82"
"Ace of Hearts | Seven of Spades,881,83"
"Ace of Diamonds | Jack of Clubs,1312,193"
"Ace of Diamonds | Eight of Diamonds,858,112"
"Queen of Diamonds | Five of Hearts,846,86"
"Ten of Diamonds | Five of Hearts,831,71"
"Queen of Hearts | Four of Spades,812,54"
"Queen of Diamonds | Seven of Hearts,865,79"
"Four of Clubs | Two of Spades,1267,84"
"Ace of Diamonds | Nine of Hearts,829,82"
"King of Hearts | Six of Spades,827,78"
"Jack of Spades | Six of Hearts,845,85"
"Ten of Hearts | Two of Spades,914,61"
"King of Clubs | Two of Spades,1295,150"
"Ace of Diamonds | Queen of Spades,831,134"
"Ace of Spades | King of Clubs,1287,257"
"Four of Diamonds | Four of Hearts,401,57"
"Jack of Spades | Five of Diamonds,833,59"
"Five of Hearts | Two of Hearts,794,68"
"Nine of Spades | Seven of Clubs,1292,114"
"King of Clubs | Seven of Hearts,1283,173"
"King of Clubs | Queen of Clubs,1924,538"
"Nine of Clubs | Eight of Hearts,1240,124"
"Four of Spades | Three of Spades,836,69"
"Eight of Diamonds | Six of Diamonds,871,87"
"Seven of Spades | Two of Clubs,1233,55"
"Nine of Diamonds | Seven of Spades,911,108"
"King of Hearts | Four of Hearts,874,105"
"Ace of Hearts | Jack of Spades,796,113"
"Queen of Spades | Nine of Hearts,803,87"
"Eight of Hearts | Three of Clubs,1313,82"
"Jack of Clubs | Six of Diamonds,1233,121"
"Ace of Hearts | Five of Diamonds,857,80"
"Four of Hearts | Two of Diamonds,820,57"
"Jack of Diamonds | Ten of Hearts,794,99"
"Four of Diamonds | Three of Clubs,1137,86"
"King of Hearts | Three of Clubs,1225,90"
"Ten of Diamonds | Seven of Diamonds,845,99"
"Five of Spades | Four of Hearts,806,75"
"Queen of Spades | Seven of Hearts,862,81"
"Queen of Spades | Two of Spades,878,95"
"Five of Hearts | Two of Diamonds,829,63"
"Jack of Clubs | Five of Spades,1299,98"
"Five of Clubs | Five of Hearts,637,65"
"Six of Diamonds | Five of Diamonds,821,93"
"Queen of Hearts | Five of Clubs,1304,110"
"Ace of Hearts | Eight of Hearts,812,110"
"King of Hearts | Four of Clubs,1245,109"
"Ace of Hearts | Nine of Spades,845,82"
"Queen of Clubs | Jack of Clubs,1958,458"
"Nine of Clubs | Six of Clubs,1924,326"
"Jack of Diamonds | Eight of Spades,875,94"
"Ace of Clubs | Jack of Hearts,1271,243"
"Nine of Hearts | Two of Hearts,815,69"
"Ace of Spades | Seven of Hearts,807,85"
"Jack of Hearts | Five of Diamonds,857,62"
"Nine of Diamonds | Five of Hearts,845,66"
"Six of Spades | Four of Clubs,1256,90"
"Five of Hearts | Two of Spades,824,56"
"Seven of Diamonds | Two of Diamonds,848,59"
"Nine of Hearts | Three of Hearts,836,77"
"Jack of Clubs | Ten of Hearts,1263,192"
"Seven of Diamonds | Six of Spades,837,89"
"Queen of Hearts | Four of Hearts,801,86"
"Nine of Hearts | Seven of Diamonds,830,84"
"Ten of Hearts | Four of Diamonds,796,69"
"Nine of Hearts | Five of Spades,829,63"
"King of Spades | Four of Hearts,869,83"
"Queen of Clubs | Seven of Spades,1255,124"
"Nine of Spades | Four of Hearts,842,53"
"Ten of Clubs | Three of Diamonds,1298,96"
"Queen of Clubs | Two of Diamonds,1276,122"
"Nine of Clubs | Nine of Spades,641,105"
"Seven of Clubs | Seven of Diamonds,667,70"
"Three of Spades | Two of Spades,828,83"
"Nine of Spades | Eight of Hearts,808,92"
"Ten of Diamonds | Five of Spades,895,55"
"Six of Clubs | Five of Clubs,1891,315"
"Jack of Diamonds | Four of Diamonds,880,89"
"Ten of Clubs | Three of Hearts,1241,96"
"Ten of Diamonds | Two of Spades,833,77"
"King of Diamonds | Queen of Clubs,1210,189"
"King of Spades | Jack of Diamonds,858,103"
"King of Clubs | Ten of Spades,1247,209"
"Queen of Clubs | Six of Spades,1287,115"
"Queen of Clubs | Five of Clubs,1919,380"
"Six of Clubs | Six of Spades,690,83"
"King of Spades | Three of Hearts,822,67"
"Nine of Hearts | Four of Diamonds,802,59"
"Six of Hearts | Five of Hearts,854,80"
"Jack of Diamonds | Two of Diamonds,861,75"
"Jack of Hearts | Nine of Clubs,1250,142"
"Queen of Diamonds | Nine of Hearts,881,105"
"Jack of Spades | Seven of Hearts,818,79"
"Nine of Clubs | Six of Hearts,1235,115"
"Eight of Diamonds | Seven of Clubs,1196,112"
"Five of Clubs | Two of Diamonds,1319,100"
"Nine of Diamonds | Nine of Spades,381,58"
"Jack of Diamonds | Seven of Clubs,1227,92"
"Six of Hearts | Five of Spades,834,84"
"King of Hearts | Ten of Spades,845,100"
"Seven of Diamonds | Three of Diamonds,846,73"
"King of Spades | Nine of Diamonds,870,101"
"Seven of Diamonds | Four of Clubs,1321,113"
"King of Diamonds | Jack of Hearts,872,129"
"Seven of Hearts | Six of Clubs,1290,104"
"Nine of Diamonds | Eight of Clubs,1212,126"
"Ten of Diamonds | Six of Diamonds,808,95"
"Ten of Clubs | Six of Clubs,1920,356"
"Six of Spades | Six of Diamonds,395,49"
"Eight of Hearts | Three of Spades,862,42"
"Queen of Diamonds | Seven of Diamonds,872,87"
"Ace of Hearts | Three of Clubs,1210,110"
"Nine of Clubs | Five of Hearts,1282,111"
"Ace of Diamonds | Seven of Diamonds,869,109"
"Five of Diamonds | Three of Diamonds,809,84"
"Ace of Hearts | Ten of Hearts,883,136"
"King of Diamonds | King of Hearts,418,97"
"Jack of Hearts | Eight of Hearts,872,101"
"Queen of Clubs | Eight of Hearts,1285,137"
"Ten of Diamonds | Four of Hearts,816,53"
"King of Hearts | Eight of Hearts,795,93"
"Nine of Hearts | Nine of Spades,437,67"
"Eight of Clubs | Two of Diamonds,1327,101"
"Jack of Diamonds | Seven of Spades,843,74"
"Jack of Diamonds | Nine of Spades,879,97"
"King of Diamonds | Two of Hearts,796,69"
"Queen of Hearts | Queen of Diamonds,433,101"
"Nine of Hearts | Two of Diamonds,836,56"
"Ten of Clubs | Four of Spades,1309,96"
"Ace of Spades | Ten of Diamonds,847,128"
"Ten of Clubs | Four of Clubs,1942,319"
"King of Clubs | Three of Clubs,1924,421"
"Eight of Hearts | Five of Spades,886,70"
"Eight of Spades | Four of Clubs,1300,75"
"Queen of Diamonds | Jack of Spades,857,97"
"Jack of Diamonds | Eight of Diamonds,879,108"
"Six of Spades | Two of Hearts,865,46"
"Jack of Diamonds | Three of Hearts,870,72"
"Eight of Hearts | Five of Hearts,843,90"
"Eight of Spades | Three of Diamonds,847,49"
"Two of Hearts | Two of Diamonds,399,55"
"King of Spades | Ten of Diamonds,825,107"
"Six of Diamonds | Six of Spades,405,61"
"Jack of Diamonds | Two of Spades,793,73"
"Ace of Diamonds | King of Spades,855,141"
"Nine of Spades | Seven of Hearts,791,83"
"Ten of Diamonds | Six of Spades,814,64"
"Nine of Diamonds | Nine of Clubs,617,104"
"Eight of Clubs | Three of Spades,1254,79"
"Jack of Spades | Two of Spades,837,72"
"Nine of Hearts | Five of Diamonds,845,71"
"Ten of Diamonds | Two of Diamonds,858,78"
"Ace of Spades | Five of Spades,863,114"
"Ace of Hearts | Four of Diamonds,814,85"
"Seven of Hearts | Four of Diamonds,825,61"
"Nine of Diamonds | Three of Clubs,1227,80"
"Three of Hearts | Two of Hearts,829,69"
"Queen of Hearts | Eight of Diamonds,828,73"
"Ace of Diamonds | Three of Spades,895,86"
"Nine of Hearts | Seven of Spades,827,73"
"King of Hearts | Ten of Hearts,831,123"
"Six of Diamonds | Six of Clubs,660,80"
"Jack of Hearts | Six of Spades,849,65"
"King of Spades | Two of Diamonds,861,66"
"Eight of Clubs | Six of Clubs,1934,329"
"King of Hearts | Six of Diamonds,800,92"
"Queen of Clubs | Nine of Spades,1291,157"
"Ace of Diamonds | Four of Diamonds,830,111"
"Ace of Hearts | Ace of Spades,396,122"
"Seven of Clubs | Four of Diamonds,1251,80"
"Jack of Spades | Five of Clubs,1206,95"
"Ten of Diamonds | Three of Diamonds,876,93"
"Nine of Diamonds | Five of Diamonds,858,94"
"Six of Diamonds | Two of Hearts,816,49"
"Nine of Hearts | Six of Spades,851,72"
"Nine of Spades | Four of Spades,839,85"
"Eight of Hearts | Seven of Clubs,1221,124"
"King of Spades | Six of Diamonds,885,77"
"Four of Spades | Three of Hearts,820,57"
"Jack of Diamonds | Six of Spades,807,56"
"Six of Clubs | Five of Spades,1218,112"
"Four of Spades | Four of Clubs,619,60"
"Eight of Diamonds | Five of Clubs,1285,104"
"Jack of Hearts | Three of Clubs,1250,87"
"Jack of Diamonds | Nine of Clubs,1249,147"
"Queen of Diamonds | Six of Hearts,824,71"
"Jack of Spades | Two of Hearts,840,67"
"Ace of Spades | Jack of Hearts,852,124"
"Three of Spades | Three of Clubs,627,59"
"Ten of Spades | Five of Diamonds,873,60"
"King of Hearts | Queen of Hearts,799,124"
"Ace of Clubs | Jack of Clubs,1987,610"
"Ace of Spades | Ace of Hearts,402,100"
"Nine of Diamonds | Nine of Hearts,440,71"
"Seven of Clubs | Five of Diamonds,1282,94"
"Seven of Hearts | Seven of Spades,397,65"
"Ten of Clubs | Seven of Spades,1247,124"
"Eight of Hearts | Seven of Hearts,769,86"
"Three of Clubs | Two of Diamonds,1243,67"
"Ten of Hearts | Five of Hearts,849,82"
"Queen of Clubs | Seven of Hearts,1285,132"
"Queen of Spades | Jack of Hearts,827,113"
"Six of Hearts | Six of Diamonds,395,53"
"Queen of Diamonds | Two of Hearts,845,59"
"Eight of Diamonds | Six of Hearts,829,82"
"Ten of Clubs | Eight of Diamonds,1243,128"
"Queen of Diamonds | Six of Clubs,1220,92"
"Five of Diamonds | Three of Clubs,1220,92"
"Nine of Diamonds | Two of Spades,805,49"
"Queen of Spades | Queen of Hearts,448,104"
"Six of Clubs | Four of Hearts,1324,113"
"Nine of Clubs | Four of Clubs,1874,304"
"Five of Hearts | Three of Clubs,1281,97"
"Queen of Hearts | Two of Diamonds,796,64"
"Ten of Clubs | Six of Spades,1260,126"
"Ace of Clubs | Five of Spades,1284,197"
"Ace of Clubs | King of Clubs,1904,545"
"Ten of Hearts | Four of Clubs,1291,82"
"Seven of Diamonds | Six of Diamonds,836,83"
"Ace of Spades | Three of Clubs,1260,116"
"Eight of Spades | Two of Hearts,863,44"
"King of Diamonds | Eight of Diamonds,896,94"
"Six of Hearts | Four of Diamonds,851,62"
"Six of Spades | Three of Clubs,1240,78"
"Queen of Clubs | Three of Diamonds,1250,133"
"Jack of Clubs | Jack of Diamonds,653,117"
"King of Hearts | Three of Spades,800,79"
"Queen of Clubs | Six of Hearts,1319,136"
"Five of Hearts | Three of Spades,818,70"
"Nine of Hearts | Nine of Clubs,670,97"
"Seven of Spades | Six of Spades,814,102"
"King of Diamonds | Four of Hearts,826,75"
"Nine of Spades | Four of Diamonds,834,61"
"Eight of Spades | Two of Diamonds,846,44"
"Jack of Hearts | Six of Diamonds,842,71"
"Ace of Diamonds | Queen of Clubs,1229,235"
"Nine of Hearts | Nine of Diamonds,409,59"
"Ace of Clubs | Seven of Spades,1269,210"
"Jack of Spades | Nine of Hearts,872,97"
"Eight of Hearts | Six of Clubs,1253,122"
"Seven of Spades | Seven of Diamonds,434,58"
"Ten of Hearts | Ten of Clubs,618,101"
"Nine of Diamonds | Three of Diamonds,848,62"
"Nine of Clubs | Three of Clubs,2013,301"
"Seven of Clubs | Five of Hearts,1296,102"
"Seven of Hearts | Seven of Diamonds,432,70"
"Nine of Diamonds | Three of Spades,819,45"
"Four of Diamonds | Two of Clubs,1243,93"
"Queen of Clubs | Eight of Clubs,1965,395"
"Nine of Clubs | Four of Hearts,1229,90"
"Four of Diamonds | Two of Diamonds,875,67"
"Ace of Spades | Jack of Clubs,1232,205"
"Queen of Hearts | Seven of Diamonds,845,75"
"King of Hearts | King of Clubs,612,155"
"Eight of Diamonds | Five of Diamonds,827,88"
"King of Hearts | Four of Diamonds,781,64"
"King of Hearts | Two of Hearts,836,81"
"Ten of Diamonds | Two of Clubs,1213,88"
"King of Diamonds | Jack of Diamonds,817,125"
"Ace of Spades | Ace of Clubs,616,197"
"Seven of Clubs | Two of Hearts,1260,71"
